"ID","Nom_complet","year","Date_t1","Date_t","delta_time","death_year","delta_DBH","delta_H","Placette","TWI_mean","delta_Lum","dST_juv","dST_adult","dST_juv_mean","dST_adult_mean","Placette_C.L.","Indice_palmier_superposition_m2","Palm_coverage","DBHt1","DBHt","Statut_growth","Treatment",".obsID"
"10.3.5.2","Symphonia sp. 1",1992,1992,1993,1,2002,0,0.115134598254053,"10.3.5",0.572301155543449,0.0955131678890884,0,0.658717746146699,-0.796694966991703,-1.64869466616921,"10.3.5",65.6678500706789,0.686360736986282,5,-0.777288214330966,0,"T2",80
"10.3.8.1","Sterculia pruriens",1992,1992,1993,1,2002,0,0.159187271062271,"10.3.8",-0.172783242037365,0.0955131678890884,0,-0.0634908670985013,-0.758808921895722,-1.36308208770119,"10.3.8",32.6551384619342,-0.295004478068996,15,-0.332126086782231,0,"T2",81
"10.3.8.3","Sterculia pruriens",1992,1992,1993,1,2013,0,0.159187271062271,"10.3.8",-0.172783242037365,0.0955131678890884,0,-0.0634908670985013,-0.758808921895722,-1.36308208770119,"10.3.8",32.6551384619342,-0.295004478068996,5,-0.777288214330966,0,"T2",82
"10.3.9.1","Symphonia sp. 1",1992,1992,1993,1,2002,0,0.115134598254053,"10.3.9",-0.049430524000753,0.0955131678890884,0,-2.242872646675,-0.666198589438879,-1.54391966966014,"10.3.9",36.9438762863699,-0.16751364462052,5,-0.777288214330966,0,"T2",83
"10.3.9.2","Virola michelii",1992,1992,1993,1,2013,0,0.128596614728251,"10.3.9",-0.049430524000753,0.156598036843704,0,-2.242872646675,-0.666198589438879,-1.54391966966014,"10.3.9",36.9438762863699,-0.16751364462052,5,-0.777288214330966,0,"T2",84
"10.3.9.3","Virola michelii",1992,1992,1993,1,NA,0,0.7,"10.3.9",-0.049430524000753,0.0835039052091074,0,-2.242872646675,-0.666198589438879,-1.54391966966014,"10.3.9",36.9438762863699,-0.16751364462052,15,-0.332126086782231,0,"T2",85
"10.3.9.5","Sterculia pruriens",1992,1992,1993,1,2002,0,0.159187271062271,"10.3.9",-0.049430524000753,0.0955131678890884,0,-2.242872646675,-0.666198589438879,-1.54391966966014,"10.3.9",36.9438762863699,-0.16751364462052,5,-0.777288214330966,0,"T2",86
"10.3.9.6","Jacaranda copaia",1992,1992,1993,1,2002,0,0.258105691056911,"10.3.9",-0.049430524000753,0.0955131678890884,0,-2.242872646675,-0.666198589438879,-1.54391966966014,"10.3.9",36.9438762863699,-0.16751364462052,25,0.113036040766503,0,"T2",87
"10.3.9.7","Symphonia sp. 1",1992,1992,1993,1,2002,0,0.115134598254053,"10.3.9",-0.049430524000753,0.0955131678890884,0,-2.242872646675,-0.666198589438879,-1.54391966966014,"10.3.9",36.9438762863699,-0.16751364462052,5,-0.777288214330966,0,"T2",88
"10.3.9.8","Virola michelii",1992,1992,1993,1,2013,0,0.128596614728251,"10.3.9",-0.049430524000753,0.156598036843704,0,-2.242872646675,-0.666198589438879,-1.54391966966014,"10.3.9",36.9438762863699,-0.16751364462052,5,-0.777288214330966,0,"T2",89
"10.4.3.2","Virola michelii",1992,1992,1993,1,NA,0,0,"10.4.3",1.27179624134924,0.23426962406667,0,0.421780862236201,-0.304176380743949,-1.271132441411,"10.4.3",46.4020687833968,0.113648994301281,15,-0.332126086782231,0,"T2",90
"10.4.3.3","Jacaranda copaia",1992,1992,1993,1,2002,0,0.258105691056911,"10.4.3",1.27179624134924,0.0955131678890884,0,0.421780862236201,-0.304176380743949,-1.271132441411,"10.4.3",46.4020687833968,0.113648994301281,15,-0.332126086782231,0,"T2",91
"10.4.3.4","Virola michelii",1992,1992,1993,1,NA,0,0,"10.4.3",1.27179624134924,0.23087818298993,0,0.421780862236201,-0.304176380743949,-1.271132441411,"10.4.3",46.4020687833968,0.113648994301281,5,-0.777288214330966,0,"T2",92
"10.4.3.5","Symphonia sp. 1",1992,1992,1993,1,NA,0,0.166666666666667,"10.4.3",1.27179624134924,0.23087818298993,0,0.421780862236201,-0.304176380743949,-1.271132441411,"10.4.3",46.4020687833968,0.113648994301281,35,0.558198168315238,0,"T2",93
"10.4.3.6","Virola michelii",1992,1992,1993,1,2016,0,0.128596614728251,"10.4.3",1.27179624134924,0.23426962406667,0,0.421780862236201,-0.304176380743949,-1.271132441411,"10.4.3",46.4020687833968,0.113648994301281,15,-0.332126086782231,0,"T2",94
"10.4.5.1","Symphonia sp. 1",1992,1992,1993,1,2002,0,0.115134598254053,"10.4.5",0.0882029456750742,0.0955131678890884,0,0.9123716402773,-0.114746155264043,-1.87469552325111,"10.4.5",29.4180023694498,-0.391234463512623,5,-0.777288214330966,0,"T2",95
